"source_id","title","organization","source_type","crop","topic","url","downloaded_file","publication_date","updated_date","download_date","authority_tier","language","notes","verification_status"
"KM-KCC-003","Kisan Call Centre dataset resource page","Open Government Data Platform India","Official HTML resource page","All five priority crops where records occur","Dataset metadata, license, update status, API access","https://www.data.gov.in/resource/kisan-call-centre-kcc-transcripts-farmers-queries-answers","04_FARMER_QUESTIONS_KCC/data.gov.in_KCC_dataset_resource_page.html","2024-07-12","2026-08-30","2026-08-31","TIER_1","Not specified","Original resource-page snapshot. Page identifies GODL, publisher, and API-backed daily granularity.","OFFICIAL_SOURCE"
"KM-CROSS-001","NRIIPM Technical Bulletins index","ICAR-National Research Centre for Integrated Pest Management","Official HTML index","Rice; Tomato; Cotton; Wheat; Potato","Additional official pest/IPM bulletin discovery","https://nriipm.res.in/technical-bulletins.aspx","03_DISEASES_PESTS_IPM/NRIIPM_technical_bulletins_index.html","","","2026-08-31","TIER_1","English","Original index snapshot. It exposes additional direct PDFs for rice, tomato and cotton; this pack downloads the non-redundant priority-crop bulletins listed above.","OFFICIAL_SOURCE"
"KM-RICE-006","Direct Seeded Rice: A Technology for Enhancing Climate Resilience (NRRI Research Bulletin No. 50)","ICAR-National Rice Research Institute","Research bulletin","Rice / Paddy","Direct seeding, climate resilience, crop establishment, production technology","https://icar-crri.in/wp-content/uploads/2024/08/NRRI_Research-Bulletin-No-50.pdf","01_DEEP_CROPS/RICE/ICAR_NRRI_Direct_Seeded_Rice_Research_Bulletin_50.pdf","","","2026-08-31","TIER_1","English","Original ICAR-NRRI PDF. Useful production and climate-resilience reference; verify location-specific recommendations before structured ingestion.","VERIFIED_SOURCE"
"KM-WHEAT-003","Wheat Cultivation in India (Pocket Guide), Extension Bulletin 52","ICAR-Directorate of Wheat Research / ICAR-IIWBR","Pocket guide","Wheat","Production, seed treatment, crop management, harvest and storage","https://iiwbr.org.in/wp-content/uploads/2023/08/EB-52-Wheat-Cultivation-in-India-Pocket-Guide.pdf","01_DEEP_CROPS/WHEAT/ICAR_IIWBR_Wheat_Cultivation_in_India_Pocket_Guide_EB52.pdf","2014","","2026-08-31","TIER_1","English","Original ICAR Directorate of Wheat Research pocket guide; dated 2014. Seed-treatment and pesticide claims require current label verification.","VERIFIED_SOURCE"
"KM-WHEAT-004","Wheat Package of practices for increasing production","ICAR-Directorate of Wheat Research / ICAR-IIWBR","Package of practices PDF","Wheat","Package of practices, seed rate, production operations","https://iiwbr.org.in/wp-content/uploads/2023/08/Wheat-Package-of-practices-for-increasing-production-1984.pdf","01_DEEP_CROPS/WHEAT/ICAR_IIWBR_Wheat_Package_of_Practices_for_Increasing_Production_1984.pdf","1984","","2026-08-31","TIER_1","English","Original ICAR-IIWBR-hosted historical package. Outdated for current rates, varieties, and chemicals; retain for historical provenance only.","OUTDATED_SOURCE"
"KM-WHEAT-005","Wheat: A guide on special features of varieties for different production conditions in India (RB-36)","ICAR-Indian Institute of Wheat and Barley Research","Variety guide PDF","Wheat","Variety selection by production condition and zone","https://iiwbr.org.in/wp-content/uploads/2024/01/RB-36-Wheat-A-guide-on-special-features-of-varieties-for-different-production-conditions-in-India.pdf","01_DEEP_CROPS/WHEAT/ICAR_IIWBR_Wheat_Variety_Guide_RB36.pdf","","","2026-08-31","TIER_1","English","Original ICAR-IIWBR variety guide. Check issue date and current seed availability before use.","VERIFIED_SOURCE"
"KM-TOMATO-003","Origin, Area, Production, Varieties, Package of Practices for Fruit Vegetables: Tomato (HORT 281 Lecture 04)","Tamil Nadu Agricultural University","University lecture PDF","Tomato","Production, varieties, nursery, cultivation package","http://eagri.org/eagri50/HORT281/pdf/lec04.pdf","01_DEEP_CROPS/TOMATO/TNAU_Tomato_Production_Varieties_and_Package_of_Practices_Lecture04.pdf","2011","","2026-08-31","TIER_1","English","Original TNAU e-course PDF. Dated 2011; use as broad production reference and revalidate current chemical advice. TNAU copyright notice visible on source page.","OUTDATED_SOURCE"
"KM-TOMATO-004","Organic Package of Practices – Horticultural Crops","Tamil Nadu Agricultural University","Organic production PDF","Tomato","Organic horticultural production, nutrient and protection practices","https://agritech.tnau.ac.in/org_farm/pdf/Horticulture5_231009_094153.pdf","01_DEEP_CROPS/TOMATO/TNAU_Organic_Package_of_Practices_Horticultural_Crops.pdf","","","2026-08-31","TIER_1","English","Original TNAU organic-farming PDF. Not tomato-only; retain provenance and do not treat every traditional practice as validated without evidence.","OFFICIAL_SOURCE"
"KM-COTTON-002","Package of Practices of Cotton Cultivation","Directorate of Cotton Development, Government of India, Ministry of Agriculture & Farmers Welfare","Government package of practices PDF","Cotton","Soil, land preparation, rainfall, sowing time, seed rate, varieties, spacing","https://cotton.dac.gov.in/Mis/Docs/636990407920799387-78f9bb87-5a78-41ca-9ce6-b5e5b227aa1a16._Package_of_Practices_of_Cotton_Cultivation.pdf","01_DEEP_CROPS/COTTON/Government_Directorate_of_Cotton_Development_Package_of_Practices_of_Cotton_Cultivation.pdf","","","2026-08-31","TIER_1","English","Original Government of India Directorate PDF. Includes regional tables; current variety/chemical status must be checked separately.","VERIFIED_SOURCE"
"KM-COTTON-003","All India Cotton Coordinated Project: Cotton Crop Production Technologies developed by AICCIP","ICAR-Central Institute for Research on Cotton","Technical bulletin PDF","Cotton","Production technologies, agronomy, nutrient and crop management","https://cicr.org.in/wp-content/uploads/2026/04/TC_BL_20.pdf","01_DEEP_CROPS/COTTON/ICAR_CICR_Cotton_Technology_Bulletin_TC_BL_20.pdf","","","2026-08-31","TIER_1","English","Original ICAR-CICR PDF located from official institute domain. Exact bulletin issue/date should be checked from its title page before structured ingestion.","OFFICIAL_SOURCE"
"KM-POTATO-003","Potato varieties and impact of technologies: A boon for doubling farmers’ income","ICAR-Central Potato Research Institute; Indian Horticulture","ICAR journal/feature PDF","Potato","Varieties, production, protection, post-harvest, quality seed, historical statistics","https://epubs.icar.org.in/index.php/IndHort/article/download/135849/49858/472762","01_DEEP_CROPS/POTATO/ICAR_CPRI_Potato_Varieties_and_Impact_of_Technologies.pdf","2023","","2026-08-31","TIER_1","English","Original ICAR Indian Horticulture PDF. Contains ICAR-CPRI variety and post-harvest context; date shown March-April 2023. Journal/institutional copyright applies.","VERIFIED_SOURCE"
"KM-POTATO-004","Origin, Area, Production, Varieties, Package of Practices for Potato (HORT 281 Lecture 22)","Tamil Nadu Agricultural University","University lecture PDF","Potato","Production, varieties, package of practices, seed tuber and storage topics","http://www.eagri.org/eagri50/HORT281/pdf/lec22.pdf","01_DEEP_CROPS/POTATO/TNAU_Potato_Production_Varieties_and_Package_of_Practices_Lecture22.pdf","2011","","2026-08-31","TIER_1","English","Original TNAU e-course PDF. Dated 2011; revalidate chemical and storage recommendations. TNAU copyright notice visible on source page.","OUTDATED_SOURCE"
"KM-REG-001","Pesticide Formulations Registered for Use in the Country under the Insecticides Act, 1968 (updated 31.03.2026)","Directorate of Plant Protection, Quarantine & Storage; CIBRC, Government of India","Regulatory list PDF","Rice; Wheat; Tomato; Cotton; Potato","Current registered pesticide formulations","https://ppqs.gov.in/sites/default/files/list_pf_pesticide_formulations_registered_as_on_31.03.2026.pdf","16_CV_DISEASE_REFERENCE/PPQS_CIBRC_Registered_Pesticide_Formulations_as_on_31_03_2026.pdf","","2026-03-31","2026-08-31","TIER_1","English","Current official registration list. Registration is not the same as crop-specific label approval; use together with major-use and label-claim sources.","VERIFIED_SOURCE"
"KM-REG-002","List of Major Uses of Pesticides (Chemical Fungicides) as on 31.03.2026","Directorate of Plant Protection, Quarantine & Storage; CIBRC, Government of India","Regulatory list PDF","Rice; Wheat; Tomato; Cotton; Potato","Current fungicide major-use/label-claim reference","https://ppqs.gov.in/sites/default/files/2._chemical_mup_fungicide_as_on_31.03.2026_0.pdf","16_CV_DISEASE_REFERENCE/PPQS_CIBRC_Major_Uses_Chemical_Fungicides_as_on_31_03_2026.pdf","","2026-03-31","2026-08-31","TIER_1","English","Current official major-use list. Must not be generalized beyond listed crop/pest/use combinations.","VERIFIED_SOURCE"
"KM-REG-003","List of Major Uses of Pesticides (Bio-Pesticides) Fungicide as on 31.03.2026","Directorate of Plant Protection, Quarantine & Storage; CIBRC, Government of India","Regulatory list PDF","Rice; Wheat; Tomato; Cotton; Potato","Current biological fungicide major-use/label-claim reference","https://ppqs.gov.in/sites/default/files/3._bio_pesticide_mup_biofungicide_as_on_31.03.2026.pdf","16_CV_DISEASE_REFERENCE/PPQS_CIBRC_Major_Uses_Biofungicides_as_on_31_03_2026.pdf","","2026-03-31","2026-08-31","TIER_1","English","Current official bio-fungicide major-use list. Crop-specific use and label directions must be checked before ingestion.","VERIFIED_SOURCE"
